"날짜","종가","시가","고가","저가","거래량","변동 %"
"2017- 12- 13","2,375.03","2,367.50","2,375.04","2,349.54","9.97M","0.27%"
"2017- 12- 12","2,368.75","2,375.90","2,380.40","2,360.32","10.92M","0.10%"
"2017- 12- 11","2,366.38","2,377.29","2,379.10","2,352.42","7.84M","0.01%"
"2017- 12- 08","2,366.04","2,354.61","2,368.07","2,348.92","10.13M","1.28%"
"2017- 12- 07","2,336.08","2,344.96","2,351.89","2,316.40","14.04M","0.31%"
"2017- 12- 06","2,328.85","2,357.70","2,371.24","2,327.62","12.74M","-1.04%"
"2017- 12- 05","2,353.44","2,352.34","2,368.45","2,337.13","10.96M","-0.84%"
"2017- 12- 04","2,373.28","2,362.79","2,373.28","2,339.70","13.89M","1.02%"
"2017- 12- 01","2,349.22","2,336.61","2,357.80","2,328.35","14.38M","1.38%"
"2017- 11- 30","2,317.32","2,357.76","2,367.00","2,315.59","22.86M","-3.74%"
"2017- 11- 29","2,407.39","2,410.16","2,416.00","2,395.11","10.85M","-0.07%"
"2017- 11- 28","2,409.07","2,416.44","2,420.46","2,387.97","13.14M","-0.11%"
"2017- 11- 27","2,411.77","2,480.31","2,482.61","2,400.51","16.50M","-2.48%"
"2017- 11- 24","2,472.98","2,464.19","2,474.40","2,455.05","10.92M","0.33%"
"2017- 11- 23","2,464.84","2,493.90","2,494.60","2,464.84","11.38M","-1.16%"
"2017- 11- 22","2,493.67","2,499.20","2,509.10","2,481.70","21.98M","0.97%"
"2017- 11- 21","2,469.60","2,442.42","2,472.23","2,434.48","22.70M","1.91%"
"2017- 11- 20","2,423.26","2,447.18","2,450.09","2,418.11","10.00M","-0.73%"
"2017- 11- 17","2,441.09","2,452.83","2,477.69","2,440.79","16.53M","0.57%"
"2017- 11- 16","2,427.19","2,409.60","2,432.39","2,397.15","11.60M","0.81%"
