,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2015-07-29,-0.6557172981090056,-0.0318040419256895,3.4575983028001334,0.9579213234220064,0.619992108893519,-0.0373276500920985,1.9967356875418536,-0.5492018807063221,down,48.79,1159.52,12.5,10.16,1.41,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-07-30,-0.6557295705802434,-0.0325618613014106,2.7438499521941,0.6175292026341269,0.4874241750704985,-0.2170457923330864,1.6282840134194383,-0.6757768333099654,neutral,48.52,1160.07,12.13,9.77,1.36,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-07-31,-0.6557076080214952,-0.030410394624633,0.3151364087467236,1.4081524352628436,0.4723881145234641,-0.3244245565651231,2.0564676142340543,-0.7218727861984563,neutral,47.12,1170.77,12.12,9.69,1.35,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-08-03,-0.6557267176610779,-0.0314647329708725,-0.7676636740345152,0.9089831590914804,0.4305377460008849,-0.3108609231884447,2.145751125710817,-0.6935351102424168,neutral,45.17,1164.64,12.56,9.85,1.36,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
2015-08-04,-0.6557126744124271,-0.0304796901727268,-0.4447684093742679,1.4581781143562702,0.4084848571985677,-0.2758215369653591,2.2042255381568654,-0.6901345891276921,neutral,45.74,1168.7,13.0,9.94,1.38,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
2015-08-05,-0.655728021150007,-0.0318004390337264,2.156218318353285,1.0470975339798534,0.3237817161169403,-0.295036684248987,1.7345439672192473,-0.6636860915687218,neutral,45.15,1167.13,12.51,9.8,1.36,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
2015-08-06,-0.6557387195968776,-0.0321142006800558,1.7584830078209976,0.7338932822644882,0.2425869891629543,-0.3470306121929203,1.2208493976663233,-0.6942907816012445,neutral,44.66,1171.94,13.77,9.57,1.32,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
2015-08-07,-0.6557532916193394,-0.0316565238858497,0.5070332993241223,0.2782245966091484,0.1869535651389269,-0.3425094010673609,0.5858047033597715,-0.706381523342488,neutral,43.87,1161.53,13.39,9.6,1.33,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
2015-08-10,-0.6557644819488248,-0.0313539690168424,-1.649309913179562,-0.0991430261173502,0.1383369693701822,-0.2340003340539342,0.4355317509446566,-0.6693536267599298,neutral,44.96,1161.53,12.23,9.57,1.33,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
2015-08-11,-0.6557580136924409,-0.0317427320851467,1.4221955038941478,0.1063972640708581,0.0942311917655478,-0.0859306696918625,0.7706592975440548,-0.6243911809096804,neutral,43.08,1157.05,13.71,9.65,1.34,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
2015-08-12,-0.655749442637879,-0.0312224431111383,-0.4290907134739992,0.3848010433734042,0.0280725253585962,0.0282299112285136,0.8329062527285586,-0.600965368786021,neutral,43.3,1177.28,13.61,9.65,1.34,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
2015-08-13,-0.6557401583535257,-0.0307422795057047,0.5087245860154608,0.6936552360371673,-0.0606402318689069,0.2011662367811621,0.7134423993441578,-0.5707385144329121,neutral,42.23,1173.0,13.49,9.65,1.34,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
2015-08-17,-0.6557486925168915,-0.0318798854283902,2.952286036305717,0.454401988199041,-0.2004755949563273,0.3639298373013023,0.4657120928522945,-0.5594034440504962,neutral,41.87,1177.2,13.02,9.41,1.3,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
2015-08-18,-0.6557593417755007,-0.0316799948511768,2.0243257624114164,0.1498978545868808,-0.3024702056670443,0.5379964656353408,0.3135528690679522,-0.5805622420976725,neutral,42.62,1181.58,13.79,9.45,1.31,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
2015-08-19,-0.6557720692381571,-0.0315595173701803,1.0548531079077077,-0.2296447976654192,-0.4067202254598164,0.7448418746296857,0.0381572491607546,-0.5862297772888804,neutral,40.8,1184.45,15.25,9.49,1.31,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
2015-08-20,-0.6557902934890333,-0.0317286601614535,5.104373957834915,-0.8169027696317285,-0.4976883917693748,0.901953961242876,-0.579911002822751,-0.5934086551977438,neutral,41.14,1181.21,19.14,9.36,1.3,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
2015-08-21,-0.6558007705887273,-0.0311819825381972,1.8941859590169887,-1.1779576709147186,-0.5663530682674989,1.001420606005184,-1.112468286067949,-0.6466834859950982,neutral,40.45,1182.53,28.03,9.1,1.26,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
2015-08-24,-0.655816646100118,-0.0314300744673261,-0.8145250475976374,-1.7423778328601158,-0.568608477349554,0.8703054833639602,-1.2363334393138803,-0.671242805156999,up,38.24,1193.57,40.74,8.9,1.23,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
2015-08-25,-0.6557976963223852,-0.0306642671641574,-1.8482900119364336,-1.3878480201545291,-0.4879149524138024,0.6691115882765647,-0.9364162916067263,-0.7369862133750108,up,39.31,1189.58,36.02,8.96,1.24,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
2015-08-26,-0.6557746393248192,-0.0305738892593332,-2.2017381974980976,-0.8865037144573652,-0.4225080890342026,0.4769601154402884,-0.5597907748843256,-0.7921502225694345,up,38.6,1189.16,30.32,9.0,1.25,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
2015-08-27,-0.6557576693746106,-0.0313827322153426,-1.273395469388046,-0.4558478683487382,-0.3728890892289889,0.3334116622037761,-0.7704244111147167,-0.823132748281371,up,42.56,1181.16,26.1,9.06,1.25,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
2015-08-28,-0.6557413511688664,-0.0306921757025186,0.0752585879414719,0.0161335387501099,-0.3430675691440373,0.2802874314784523,-0.6409004437611034,-0.8548709453521353,neutral,45.22,1171.99,26.05,9.24,1.28,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
2015-08-31,-0.6557245902687692,-0.0304329546924439,0.5183039909066667,0.5729410973552038,-0.3743926952836924,0.3300207538596064,-0.6729670570379688,-0.8280446121137512,neutral,49.2,1177.6,28.43,9.29,1.29,2216829.0,1.5,95.213,95.66,92.4,96.6,100.3,3.7,60.5,1.5,0.3
